char,pca_3,pca_5,pca_7
32,[-389.34817285  238.94113329 -160.88318217],[-389.34817285  238.94113329 -160.88318217  -81.84273979  -94.66396142],"[-389.34817285  238.94113329 -160.88318217  -81.84273979  -94.66396142
 -221.70378761 -384.51331955]"
33,[-632.36256375  287.18767802 -297.35505008],[-632.36256375  287.18767802 -297.35505008 -111.28604618  182.05943816],"[-632.36256375  287.18767802 -297.35505008 -111.28604618  182.05943816
  227.3997088    39.81374156]"
34,[-318.488446    152.27595664   14.95622498],[-318.488446    152.27595664   14.95622498   58.94892205   70.05639732],"[-318.488446    152.27595664   14.95622498   58.94892205   70.05639732
    7.31852297 -289.68595036]"
35,[ 116.86173583 -534.72558642  140.88806505],[ 116.86173583 -534.72558642  140.88806505  -78.44301593 -152.91460513],"[ 116.86173583 -534.72558642  140.88806505  -78.44301593 -152.91460513
 -128.94473549  432.91431645]"
36,[ 68.17771727  44.77994273 -35.23335862],[  68.17771727   44.77994273  -35.23335862 -124.79278979   26.53080741],"[  68.17771727   44.77994273  -35.23335862 -124.79278979   26.53080741
   95.46845472  173.74324175]"
37,[ 207.04384594 -127.24975365  -97.75222577],[ 207.04384594 -127.24975365  -97.75222577  321.75279419 -201.06942321],"[ 207.04384594 -127.24975365  -97.75222577  321.75279419 -201.06942321
 -213.57562178  541.20987213]"
38,[ 453.97492772  155.54484249 -259.66423798],[ 453.97492772  155.54484249 -259.66423798  186.21214443   58.6730518 ],"[ 453.97492772  155.54484249 -259.66423798  186.21214443   58.6730518
  185.56043359  407.62385996]"
39,[-435.98584917  219.65077773 -219.29893095],[-435.98584917  219.65077773 -219.29893095  -33.28578818  173.24162692],"[-435.98584917  219.65077773 -219.29893095  -33.28578818  173.24162692
  -32.84307132 -420.25004539]"
40,[-696.93816725  272.12651439 -257.11981598],[-696.93816725  272.12651439 -257.11981598   36.17654359  207.98263431],"[-696.93816725  272.12651439 -257.11981598   36.17654359  207.98263431
  147.8455968    16.60850639]"
41,[-464.67695577   84.86278991 -427.56365722],[-464.67695577   84.86278991 -427.56365722   39.69166792  147.3535705 ],"[-464.67695577   84.86278991 -427.56365722   39.69166792  147.3535705
  435.82479729 -140.3064828 ]"
