char,pca_3,pca_5,pca_7
32,[-1877.13884921   895.69185202   307.99943485],"[-1877.1387996    895.69316609   308.00376297  -498.66590903
  -330.44631883]","[-1877.13884446   895.69165173   307.99706789  -498.60290331
  -330.4333434    828.8193712  -1008.99509366]"
33,[-2346.48366966  1111.13205242  -230.88537332],"[-2346.48386501  1111.13136966  -230.88360112 -1079.81550725
  -196.34937461]","[-2346.48384161  1111.13214715  -230.88102312 -1079.84434488
  -196.38927469 -1873.5801501    176.57149128]"
34,[-1384.63475898   356.25310458  -155.69899714],"[-1384.63483061   356.25229666  -155.71787379   390.06397658
   340.74699913]","[-1384.63469394   356.25615076  -155.70418213   389.88239128
   340.64227492   762.5525996   -427.10216288]"
35,[  611.53221513 -2282.16522067   384.40444248],"[  611.53199144 -2282.16293522   384.38828663   751.37007403
   283.81336404]","[  611.53206458 -2282.16055229   384.39319945   751.26569795
   283.73519669   899.03486514  1238.33312434]"
36,[160.61927673 156.94791267  78.80983159],[ 160.61890978  156.93938077   78.79882823  141.26247698 -625.65695439],"[ 160.61901523  156.9416637    78.80368809  141.13878489 -625.71308818
  -37.44272542  466.89553838]"
37,[ 259.86267247 -386.15964802 1548.35119853],[ 259.86244181 -386.16589259 1548.36511845  990.7346227   177.72495223],"[ 259.86255675 -386.16301991 1548.37344946  990.64685872  177.81745722
 1348.64912044 2601.22310353]"
38,[1636.46503127  967.39047501 1131.94657696],[1636.4649345   967.38349029 1131.93626906 -578.78854151  204.78764799],"[1636.46504297  967.38634643 1131.95244397 -578.94243575  204.68719858
 -326.91816156 1812.10592407]"
39,[-2128.48841367   923.05246802   112.93072964],"[-2128.48830409   923.05169647   112.94138392  -859.46934264
   168.34578633]","[-2128.48834324   923.05042797   112.93630852  -859.4187206
   168.35264347  -414.63592171 -1081.40597877]"
40,[-3041.4937931   1170.9191728    -17.69465753],"[-3041.49368742  1170.91768397   -17.69243962  -442.58137779
   290.07270893]","[-3041.49368116  1170.9176835    -17.69218771  -442.57841648
   290.12647632  -420.74625099  -570.64030055]"
41,[-2522.48666474   900.16413564   367.00922077],"[-2522.48686448   900.16828539   367.00445013  -718.58598018
  -114.95068799]","[-2522.48689      900.16733829   366.99929397  -718.54534846
  -114.98304711 -2020.08257596   194.66080261]"
42,[-1767.49578538   213.20865659   139.60285107],"[-1767.4958423    213.20587393   139.5998438   -113.19876056
   256.00390365]","[-1767.49576342   213.20791485   139.60513245  -113.3029835
   255.93536155  -767.56986595  -168.88762635]"
43,[-2278.70529974   472.58749717   684.07093498],"[-2278.70519741   472.5853902    684.07382853  -985.56066274
  -779.95311236]","[-2278.70520158   472.58657962   684.08753692  -985.61865575
  -780.04775856  -711.88870348   121.98000102]"
44,[-2177.55603909  1194.94301417   175.24227125],"[-2177.55617705  1194.94472842   175.24283224  -666.99256259
  -905.94167138]","[-2177.55619754  1194.94382201   175.23830972  -666.94444885
  -905.89828605   329.16052663  -931.18804317]"
45,[-2101.9931671    534.20716546   217.65580454],"[-2101.993031     534.21016892   217.6689206   -689.65548733
  -146.43167304]","[-2101.99311802   534.20808563   217.66350202  -689.55787934
  -146.41310835   965.92974741   -91.52088194]"
46,[-1797.24312717  1176.997254    -211.65862658],"[-1797.24328206  1176.99840312  -211.65675588  -747.16705745
  -615.47759341]","[-1797.2432977   1176.99750272  -211.66243252  -747.12060382
  -615.43691867   566.56441946  -957.41256016]"
47,[-1861.92213823   446.14457545  -285.79859092],"[-1861.92185845   446.14346137  -285.78879295   115.72272602
   -84.91744704]","[-1861.92188354   446.14362748  -285.78518763   115.74745583
   -84.87045177   446.68938241   366.40760354]"
