char,pca_3,pca_5,pca_7
32,[-244.92411747  -84.62639828  -35.6003125 ],[-244.92411747  -84.62639828  -35.6003125   -60.37959631  -11.59878952],"[-244.92411747  -84.62639828  -35.6003125   -60.37959631  -11.59878952
   -7.04520497   52.21753053]"
33,[  28.78533061 -359.51116664  271.59706257],[  28.78533061 -359.51116664  271.59706257  -21.35273384   60.72473132],"[  28.78533061 -359.51116664  271.59706257  -21.35273384   60.72473132
  110.53158438   -1.00058138]"
34,[ -47.30696216 -127.78130166   38.95888657],[ -47.30696216 -127.78130166   38.95888657 -284.6653334  -140.02418147],"[ -47.30696216 -127.78130166   38.95888657 -284.6653334  -140.02418147
  236.55728511   90.92851868]"
35,[ 527.91513658   -3.2242372  -341.39161275],[ 527.91513658   -3.2242372  -341.39161275  137.29714114 -202.05719933],"[ 527.91513658   -3.2242372  -341.39161275  137.29714114 -202.05719933
  355.86832531  -36.46129343]"
36,[ 427.15912364 -300.68180541   37.77935685],[ 427.15912364 -300.68180541   37.77935685  -45.71914842  -88.22174018],"[ 427.15912364 -300.68180541   37.77935685  -45.71914842  -88.22174018
   86.38837292 -166.78856905]"
37,[178.34044995 296.23458811  12.19984715],[178.34044995 296.23458811  12.19984715 237.43244482 -20.34345763],"[178.34044995 296.23458811  12.19984715 237.43244482 -20.34345763
 126.13672009 119.71553814]"
38,[683.63853771  -1.89015406  42.1524249 ],[683.63853771  -1.89015406  42.1524249  191.04112239 -59.67014696],"[683.63853771  -1.89015406  42.1524249  191.04112239 -59.67014696
  -8.11082404 134.27291806]"
39,[-158.36401299 -183.59947891   88.8872455 ],[-158.36401299 -183.59947891   88.8872455  -114.02416256  -77.10195748],"[-158.36401299 -183.59947891   88.8872455  -114.02416256  -77.10195748
  103.56664844  -26.66303033]"
40,[ 185.84987794 -335.92911746  -21.27626091],[ 185.84987794 -335.92911746  -21.27626091  -47.74583355 -281.99647384],"[ 185.84987794 -335.92911746  -21.27626091  -47.74583355 -281.99647384
 -112.12183886 -206.79633825]"
41,[ 146.78544899 -437.04333139  263.96302296],[ 146.78544899 -437.04333139  263.96302296  111.30336309   -1.65408074],"[ 146.78544899 -437.04333139  263.96302296  111.30336309   -1.65408074
  140.75020258   65.79587177]"
42,[ 100.13882766 -271.60406072   15.00814832],[ 100.13882766 -271.60406072   15.00814832 -138.5820545  -149.70741333],"[ 100.13882766 -271.60406072   15.00814832 -138.5820545  -149.70741333
  156.55816121   70.84588832]"
43,[ 101.21932597 -303.60977946   83.4579288 ],[ 101.21932597 -303.60977946   83.4579288   210.42222005   31.34937571],"[ 101.21932597 -303.60977946   83.4579288   210.42222005   31.34937571
   -7.78463861  -35.46704361]"
44,[-141.8013909  -209.46781358   52.18357008],[-141.8013909  -209.46781358   52.18357008  103.96474096  -56.10672998],"[-141.8013909  -209.46781358   52.18357008  103.96474096  -56.10672998
  -30.00811161   48.05944549]"
45,[-146.03740611 -151.48847809  -51.61805385],[-146.03740611 -151.48847809  -51.61805385   80.8497925   -56.21053057],"[-146.03740611 -151.48847809  -51.61805385   80.8497925   -56.21053057
   18.83135539   80.6025178 ]"
46,[-165.40498339 -145.02594039   39.30751626],[-165.40498339 -145.02594039   39.30751626  -70.9148975    31.80880333],"[-165.40498339 -145.02594039   39.30751626  -70.9148975    31.80880333
  -68.64680541  -32.56346154]"
47,[  68.51601327 -235.1268566    25.84699569],[  68.51601327 -235.1268566    25.84699569  -41.16679596   -7.16239035],"[  68.51601327 -235.1268566    25.84699569  -41.16679596   -7.16239035
  -27.9593775     1.46089144]"
48,[ 602.99533562  -41.78590311 -434.86798338],[ 602.99533562  -41.78590311 -434.86798338 -280.6553488    26.96445473],"[ 602.99533562  -41.78590311 -434.86798338 -280.6553488    26.96445473
  316.74988792 -117.78607097]"
49,[ 284.60261278 -515.67201698  447.28650691],[ 284.60261278 -515.67201698  447.28650691   12.72554278   54.15175898],"[ 284.60261278 -515.67201698  447.28650691   12.72554278   54.15175898
  -73.77570684 -135.606484  ]"
50,[ 409.17826517 -164.8422253   118.03907478],[ 409.17826517 -164.8422253   118.03907478 -294.47691514  139.71298392],"[ 409.17826517 -164.8422253   118.03907478 -294.47691514  139.71298392
   83.52423637   69.34090908]"
51,[ 403.99869052 -266.84732818   46.25459815],[ 403.99869052 -266.84732818   46.25459815 -249.48057972  264.52464831],"[ 403.99869052 -266.84732818   46.25459815 -249.48057972  264.52464831
  278.34227167  101.50172799]"
52,[ 348.3287589  -286.32352425 -164.68508229],[ 348.3287589  -286.32352425 -164.68508229  268.97064148  117.75823773],"[ 348.3287589  -286.32352425 -164.68508229  268.97064148  117.75823773
  434.76523451  164.90214279]"
53,[ 376.87196153 -251.70793455  -30.25184546],[ 376.87196153 -251.70793455  -30.25184546 -226.19353377  206.07809534],"[ 376.87196153 -251.70793455  -30.25184546 -226.19353377  206.07809534
  138.91092562  -95.92802987]"
54,[ 577.51472188 -204.51159219 -408.13171468],[ 577.51472188 -204.51159219 -408.13171468  -55.56127318  189.7742282 ],"[ 577.51472188 -204.51159219 -408.13171468  -55.56127318  189.7742282
   36.39170596 -259.95588916]"
55,[ 194.27233171 -185.87575604  250.35006515],[ 194.27233171 -185.87575604  250.35006515 -260.15551875  -70.56212001],"[ 194.27233171 -185.87575604  250.35006515 -260.15551875  -70.56212001
  157.36687933  133.77954008]"
56,[ 558.02304151 -159.8260055  -132.19618142],[ 558.02304151 -159.8260055  -132.19618142 -386.05110497  115.44145157],"[ 558.02304151 -159.8260055  -132.19618142 -386.05110497  115.44145157
  220.64996495    4.9300136 ]"
57,[ 570.90401044 -208.21687004 -178.24018819],[ 570.90401044 -208.21687004 -178.24018819 -140.20976558 -172.04977532],"[ 570.90401044 -208.21687004 -178.24018819 -140.20976558 -172.04977532
  176.6629582   185.83967454]"
58,[ -85.97056311 -211.58283275   82.17934702],[ -85.97056311 -211.58283275   82.17934702  -42.73878034  113.61219174],"[ -85.97056311 -211.58283275   82.17934702  -42.73878034  113.61219174
 -113.65771224    3.09549333]"
59,[-108.09688933 -281.12461947  115.22732938],[-108.09688933 -281.12461947  115.22732938  162.95766084  -99.05445498],"[-108.09688933 -281.12461947  115.22732938  162.95766084  -99.05445498
   52.63573384   29.94275134]"
60,[  96.93444142  -85.8058338  -206.27016574],[  96.93444142  -85.8058338  -206.27016574  206.67960005   10.07783823],"[  96.93444142  -85.8058338  -206.27016574  206.67960005   10.07783823
  -21.44124296   77.33052495]"
61,[ 108.69699744 -142.82507931 -278.64225956],[ 108.69699744 -142.82507931 -278.64225956  343.99786788  128.58970932],"[ 108.69699744 -142.82507931 -278.64225956  343.99786788  128.58970932
  -33.63780263   11.15500612]"
62,[ 107.11130148  -92.28044475 -202.60789211],[ 107.11130148  -92.28044475 -202.60789211  128.70772143   47.89676462],"[ 107.11130148  -92.28044475 -202.60789211  128.70772143   47.89676462
    1.521957    -59.20548104]"
63,[ 178.08708517 -231.61459055  110.96012165],[ 178.08708517 -231.61459055  110.96012165 -340.89556467 -109.29647866],"[ 178.08708517 -231.61459055  110.96012165 -340.89556467 -109.29647866
  219.75360052   87.18656446]"
64,[ 416.12113657   44.07860462 -316.70579976],[ 416.12113657   44.07860462 -316.70579976  507.1408384  -466.9114666 ],"[ 416.12113657   44.07860462 -316.70579976  507.1408384  -466.9114666
  322.98105237 -153.55016433]"
65,[ 462.89569311  -47.55145051 -155.0336261 ],[ 462.89569311  -47.55145051 -155.0336261   413.0086353    81.71581898],"[ 462.89569311  -47.55145051 -155.0336261   413.0086353    81.71581898
  318.32444483  182.04186596]"
66,[1099.22269533  302.61316103 -308.64749243],[1099.22269533  302.61316103 -308.64749243 -444.77043777 -154.91195147],"[1099.22269533  302.61316103 -308.64749243 -444.77043777 -154.91195147
 -135.13170449 -193.02552822]"
67,[361.47466725 429.84665737 401.02246112],[ 361.47466725  429.84665737  401.02246112 -280.24630483  269.8776766 ],"[ 361.47466725  429.84665737  401.02246112 -280.24630483  269.8776766
  125.48960048 -216.89783542]"
68,[756.85096769 823.47493412 291.14605666],[ 756.85096769  823.47493412  291.14605666 -221.89702487   73.97473175],"[ 756.85096769  823.47493412  291.14605666 -221.89702487   73.97473175
   52.09568976  -34.61817869]"
69,[1003.4935922   192.41395841 -172.69247551],[1003.4935922   192.41395841 -172.69247551 -461.34045614 -178.42695841],"[1003.4935922   192.41395841 -172.69247551 -461.34045614 -178.42695841
 -333.56096895   58.79860442]"
70,[ 881.14809597   78.84874327 -202.29544173],[ 881.14809597   78.84874327 -202.29544173 -508.1213176  -274.97412903],"[ 881.14809597   78.84874327 -202.29544173 -508.1213176  -274.97412903
 -253.46310668   34.0409767 ]"
71,[474.43050865 593.56497937 301.09111848],[ 474.43050865  593.56497937  301.09111848 -169.86005533  234.51495734],"[ 474.43050865  593.56497937  301.09111848 -169.86005533  234.51495734
  161.66707936 -563.64184213]"
72,[ 795.94135309 1034.66971857   70.46962004],[ 795.94135309 1034.66971857   70.46962004   86.46776616 -140.40037244],"[ 795.94135309 1034.66971857   70.46962004   86.46776616 -140.40037244
 -228.87512786  128.70358405]"
73,[ 493.44848554 -552.14872524  628.26420092],[ 493.44848554 -552.14872524  628.26420092   -7.2219725    83.24687658],"[ 493.44848554 -552.14872524  628.26420092   -7.2219725    83.24687658
  -10.5710321   -42.98890683]"
74,[ 376.32700707 -505.13976907  547.03776134],[ 376.32700707 -505.13976907  547.03776134  -10.98518801  -24.8624289 ],"[ 376.32700707 -505.13976907  547.03776134  -10.98518801  -24.8624289
   48.65888799   78.03051525]"
75,[723.68137484 578.71588967 467.5579558 ],[723.68137484 578.71588967 467.5579558  446.14802697  75.97275325],"[723.68137484 578.71588967 467.5579558  446.14802697  75.97275325
  57.62387431 339.40132257]"
76,[ 722.64179133  114.85937578 -203.01904809],[ 722.64179133  114.85937578 -203.01904809 -376.84634081 -156.79330844],"[ 722.64179133  114.85937578 -203.01904809 -376.84634081 -156.79330844
 -311.6208929     7.99358627]"
77,[426.2074934  806.42703547  43.14426352],[ 426.2074934   806.42703547   43.14426352  566.16289689 -339.4369677 ],"[ 426.2074934   806.42703547   43.14426352  566.16289689 -339.4369677
 -143.11894527 -306.71841016]"
78,[322.61692655 579.684834   249.94430818],[ 322.61692655  579.684834    249.94430818  272.06079503 -279.80049019],"[ 322.61692655  579.684834    249.94430818  272.06079503 -279.80049019
  -99.61121161  184.57430121]"
79,[381.50827725 729.87146168 411.92044657],[ 381.50827725  729.87146168  411.92044657 -197.2094737   284.29285798],"[ 381.50827725  729.87146168  411.92044657 -197.2094737   284.29285798
  255.16794698 -501.5315164 ]"
80,[ 878.18575531  198.82614523 -244.28325753],[ 878.18575531  198.82614523 -244.28325753 -491.48148439 -246.15558886],"[ 878.18575531  198.82614523 -244.28325753 -491.48148439 -246.15558886
  -88.80003835  140.61815303]"
81,[324.40288117 533.13778732 206.20274053],[ 324.40288117  533.13778732  206.20274053  623.0006021  -146.6612329 ],"[ 324.40288117  533.13778732  206.20274053  623.0006021  -146.6612329
  173.99325057 -565.7767656 ]"
82,[972.27400619 381.93422823 100.10146761],[972.27400619 381.93422823 100.10146761 109.45691284  43.53453294],"[972.27400619 381.93422823 100.10146761 109.45691284  43.53453294
 179.18280417 674.7161501 ]"
83,[561.65857728 -36.06429307 -28.9256989 ],[ 561.65857728  -36.06429307  -28.9256989  -368.42674811  127.71257341],"[ 561.65857728  -36.06429307  -28.9256989  -368.42674811  127.71257341
  102.16936045  -94.75750613]"
84,[ 597.17122416 -387.62960922  732.76531766],[ 597.17122416 -387.62960922  732.76531766   46.64346251  -37.37665985],"[ 597.17122416 -387.62960922  732.76531766   46.64346251  -37.37665985
  -76.71784295   54.86645472]"
85,[353.67661461 720.63257135 416.88961998],[353.67661461 720.63257135 416.88961998 100.7404602  148.68206147],"[ 353.67661461  720.63257135  416.88961998  100.7404602   148.68206147
  -29.74709179 -148.31691399]"
86,[490.09934232  73.27250282  33.40672862],[ 490.09934232   73.27250282   33.40672862   92.46674506 -509.28162493],"[ 490.09934232   73.27250282   33.40672862   92.46674506 -509.28162493
 -249.87155159  128.95410803]"
